chemical,map
CID-44408578,23434
CID-16725559,23435
CID-15398566,23436
CID-11285653,23437
CID-4091,23438
CID-25217067,23439
CID-11167861,23440
CID-52942381,23441
CID-45487647,23442
CID-71460167,23443
CID-11827657,23444
CID-162504,23445
CID-3905,23446
CID-439642,23447
CID-73177,23448
CID-12679510,23449
CID-53228263,23450
CID-71680729,23451
CID-128022,23452
CID-3080808,23453
CID-1512575,23454
CID-91365567,23455
CID-90851514,23456
CID-610479,23457
CID-70164,23458
CID-1417890,23459
CID-11804817,23460
CID-49863724,23461
CID-11525596,23462
CID-5323555,23463
CID-3035627,23464
CID-306142,23465
CID-57240018,23466
CID-53323098,23467
CID-23017621,23468
CID-91308279,23469
CID-4322126,23470
CID-14950498,23471
CID-40841,23472
CID-12358131,23473
CID-3013896,23474
CID-14549657,23475
CID-10284595,23476
CID-165442,23477
CID-3081930,23478
CID-57522721,23479
CID-501013,23480
CID-125692,23481
CID-10111602,23482
CID-5288213,23483
CID-10062068,23484
CID-91045644,23485
CID-4939,23486
CID-89396427,23487
CID-44375016,23488
CID-11438749,23489
CID-57469854,23490
CID-6441694,23491
CID-191638,23492
CID-46229851,23493
CID-23017414,23494
CID-159895,23495
CID-91205226,23496
CID-5359554,23497
CID-65125,23498
CID-90471075,23499
CID-71406620,23500
CID-22497472,23501
CID-5320745,23502
CID-44567,23503
CID-91109301,23504
CID-52946017,23505
CID-76312225,23506
CID-65021,23507
CID-44370,23508
CID-49799507,23509
CID-7938,23510
CID-44319688,23511
CID-65542,23512
CID-20455534,23513
CID-68184734,23514
CID-46880312,23515
CID-11560720,23516
CID-2063876,23517
CID-4416,23518
CID-13579,23519
CID-363885,23520
CID-6350,23521
CID-21482823,23522
CID-21885953,23523
CID-6479695,23524
CID-86037398,23525
CID-9831270,23526
CID-11954656,23527
CID-10456755,23528
CID-6770,23529
CID-283,23530
CID-44605037,23531
CID-44419935,23532
CID-2733502,23533
CID-46173248,23534
CID-45139419,23535
CID-301805,23536
CID-5153389,23537
CID-11008060,23538
CID-11224275,23539
CID-191102,23540
CID-9548823,23541
CID-518938,23542
CID-8071,23543
CID-132541,23544
CID-24812040,23545
CID-46884526,23546
CID-637458,23547
CID-171563,23548
CID-16072019,23549
CID-4172142,23550
CID-10018937,23551
CID-72771080,23552
CID-242357,23553
CID-10417026,23554
CID-72201022,23555
CID-72518,23556
CID-49837754,23557
CID-44443054,23558
CID-9873998,23559
CID-19100324,23560
CID-193415,23561
CID-443788,23562
CID-10034143,23563
CID-87484,23564
CID-804665,23565
CID-25161461,23566
CID-11694965,23567
CID-2078,23568
CID-9952802,23569
CID-90732117,23570
CID-216416,23571
CID-2769980,23572
CID-11791152,23573
CID-445276,23574
CID-57342713,23575
CID-44315697,23576
CID-194475,23577
CID-60195574,23578
CID-58191080,23579
CID-44407944,23580
CID-70678914,23581
CID-53663038,23582
CID-33770,23583
CID-44568169,23584
CID-44222969,23585
CID-91170250,23586
CID-873996,23587
CID-25093308,23588
CID-57211027,23589
CID-173552,23590
CID-15052442,23591
CID-340342,23592
CID-2724715,23593
CID-44395811,23594
CID-57421905,23595
CID-44390472,23596
CID-9870584,23597
CID-23646308,23598
CID-628535,23599
CID-91240369,23600
CID-14810967,23601
CID-71576803,23602
CID-24901151,23603
CID-6483745,23604
CID-122462,23605
CID-44317105,23606
CID-64644,23607
CID-15894989,23608
CID-14938383,23609
CID-90952048,23610
CID-10821217,23611
CID-442210,23612
CID-44448583,23613
CID-90694852,23614
CID-54682570,23615
CID-124143,23616
CID-91182569,23617
CID-12857324,23618
CID-182936,23619
CID-10390058,23620
CID-71450252,23621
CID-22254110,23622
CID-24748050,23623
CID-45268876,23624
CID-54581302,23625
CID-44573275,23626
CID-4470381,23627
CID-107805,23628
CID-53326941,23629
CID-90995069,23630
CID-9819080,23631
CID-123145,23632
CID-90828421,23633
CID-18511384,23634
CID-9865117,23635
CID-44432319,23636
CID-10340179,23637
CID-46847260,23638
CID-10346998,23639
CID-4360,23640
CID-52948815,23641
CID-8761,23642
CID-447518,23643
CID-435741,23644
CID-10283067,23645
CID-13186059,23646
CID-214614,23647
CID-59436195,23648
CID-46830802,23649
CID-10746,23650
CID-45483968,23651
CID-71749263,23652
CID-25008420,23653
CID-5287982,23654
CID-91237493,23655
CID-24749956,23656
CID-44254517,23657
CID-84318,23658
CID-4671993,23659
CID-18438798,23660
CID-66111,23661
CID-2676,23662
CID-44399585,23663
CID-44276170,23664
CID-11572055,23665
CID-148121,23666
CID-6329600,23667
CID-45139591,23668
CID-44454878,23669
CID-11533614,23670
CID-11983282,23671
CID-10606752,23672
CID-24946103,23673
CID-163013,23674
CID-856,23675
CID-10061525,23676
CID-156312,23677
CID-97234,23678
CID-16059537,23679
CID-91555861,23680
CID-18943006,23681
CID-44389488,23682
CID-529849,23683
CID-44554440,23684
CID-149053,23685
CID-19074214,23686
CID-91423967,23687
CID-3082106,23688
CID-10463896,23689
CID-10474039,23690
CID-10759541,23691
CID-90684507,23692
CID-78106,23693
CID-3082942,23694
CID-13541275,23695
CID-176954,23696
CID-3045229,23697
CID-90880065,23698
CID-265582,23699
CID-44326413,23700
CID-197168,23701
CID-91246135,23702
CID-78988,23703
CID-12471818,23704
CID-636638,23705
CID-11542808,23706
CID-6453200,23707
CID-10346644,23708
CID-9871096,23709
CID-18714903,23710
CID-44333932,23711
CID-10871856,23712
CID-91527810,23713
CID-59605328,23714
CID-4369577,23715
CID-416661,23716
CID-86072283,23717
CID-95469,23718
CID-10435854,23719
CID-23365570,23720
CID-618848,23721
CID-90800771,23722
CID-10901524,23723
CID-44321285,23724
