target_entrez,disease_icd10
11664,205250
3614,205250
19414,205250
9095,208091
10686,208091
10686,204630
19389,206124
17819,206124
13302,206124
799,206124
16288,206124
3638,206124
15024,205262
551,206542
13231,206542
1972,205031
9540,205031
11493,205031
4342,207749
17819,206000
1029,206000
6303,206000
10877,206000
6272,204021
20665,204021
11664,205979
16,205979
187,205979
187,208015
2305,204021
4467,208245
20635,206068
3377,206068
8150,204630
9540,204630
20623,204630
14650,204630
8476,204630
19903,204994
4467,204994
9706,204994
18730,207205
18730,207827
18730,206355
18730,205691
18730,204937
18730,204604
18730,206268
18730,204056
18730,208652
18730,206830
18730,203745
18730,206627
18730,205014
18730,206654
18730,203526
18730,207646
18730,207990
9932,206124
9706,206124
13903,205455
11813,205455
10686,205455
20335,205455
551,207205
551,207827
551,206355
551,205691
551,204937
551,206268
551,204056
551,208652
551,206830
551,203745
551,206627
551,205014
551,206654
551,203526
551,207646
551,207990
6365,205091
19389,206407
11664,206000
11813,206000
13306,206000
8150,206000
16,206000
9182,206000
4467,207205
4467,207827
4467,206355
4467,205691
4467,204937
4467,206268
4467,204056
4467,208652
4467,206830
4467,203745
4467,206627
4467,205014
4467,206654
4467,203526
4467,207646
4467,207990
17897,203855
19711,207120
6365,207120
2419,206218
15694,206218
22147,206218
2654,206218
19903,204535
20335,204535
21689,204535
4591,204535
647,207580
22021,207580
13974,203319
13974,206897
13974,204886
13974,207742
22021,205031
3377,205031
9932,204604
21686,208091
21686,203319
21686,206897
21686,204630
21686,204886
21686,207742
4652,208091
4652,203319
4652,206897
4652,204630
4652,204886
4652,207742
17032,204562
7416,204055
11484,204055
3465,204055
1029,203567
19668,204202
19386,204202
9774,207739
2357,207739
21686,206218
20635,207567
20665,207567
19645,207749
2564,207749
21822,207749
13011,207749
17505,207749
18056,207749
11978,207749
8571,207749
7212,208640
1786,208640
9452,208640
17447,207179
16288,207179
18909,207179
16270,207550
647,203972
16288,203972
13847,208201
12160,208201
11664,204994
12160,204994
14926,207861
21862,207861
16529,207861
11384,207861
20635,206716
1972,203307
15024,203307
16,203307
9540,203307
13903,204677
10908,204677
8092,204677
6365,204677
17821,204677
20635,203307
20635,205234
